Crime Investigations Unit (CIU)
Crime Prevention Officer (CPO)
Family Violence Investigations Unit (FVIU)
Family Violence Liaison Officer (FVLO)
Farm Crime Liaison Officer (FCLO)
Justice of the Peace
LGBTIQ+ Liaison Officer (LLO)
Neighbourhood Watch
Pro-active Policing Unit (PPU)
Prosecutions Unit
Regional Firearms Officers
Sexual Offences and Child Abuse Investigation Team (SOCIT)
Victim Assistance Support Officers
Youth Resource Officer
